mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_forest__n_estimators,param_forest__min_samples_split,param_forest__min_samples_leaf,param_forest__max_features,param_forest__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
622.9386420726776,3.1929722703005554,2.6515825271606444,0.325675324175039,390,300,5,4,sqrt,100,"{'pca__n_components': 390, 'forest__n_estimators': 300, 'forest__min_samples_split': 5, 'forest__min_samples_leaf': 4, 'forest__max_features': 'sqrt', 'forest__max_depth': 100}",0.8600833333333333,0.8540833333333333,0.85725,0.8619166666666667,0.8558333333333333,0.8578333333333333,0.0028333333333333383,14
734.0519272804261,4.827606290992361,3.280840826034546,0.29072749684363297,320,450,5,6,sqrt,60,"{'pca__n_components': 320, 'forest__n_estimators': 450, 'forest__min_samples_split': 5, 'forest__min_samples_leaf': 6, 'forest__max_features': 'sqrt', 'forest__max_depth': 60}",0.859,0.85325,0.8581666666666666,0.86,0.8565833333333334,0.8573999999999999,0.0023578474175494223,15
597.0906988143921,3.3937802111846467,3.028204250335693,0.47606207620423807,360,300,10,4,auto,100,"{'pca__n_components': 360, 'forest__n_estimators': 300, 'forest__min_samples_split': 10, 'forest__min_samples_leaf': 4, 'forest__max_features': 'auto', 'forest__max_depth': 100}",0.8590833333333333,0.85325,0.8599166666666667,0.8605,0.854,0.85735,0.0030837387120903384,16
448.2136739253998,2.703339499664665,2.171057176589966,0.2935680968232382,310,250,2,6,sqrt,40,"{'pca__n_components': 310, 'forest__n_estimators': 250, 'forest__min_samples_split': 2, 'forest__min_samples_leaf': 6, 'forest__max_features': 'sqrt', 'forest__max_depth': 40}",0.8585,0.8509166666666667,0.8573333333333333,0.8613333333333333,0.85475,0.8565666666666667,0.0035290067850443176,17
446.51209077835085,3.544122297557147,2.20515456199646,0.2795196696974761,330,250,5,6,sqrt,40,"{'pca__n_components': 330, 'forest__n_estimators': 250, 'forest__min_samples_split': 5, 'forest__min_samples_leaf': 6, 'forest__max_features': 'sqrt', 'forest__max_depth': 40}",0.85925,0.85425,0.856,0.85875,0.8538333333333333,0.8564166666666667,0.002236689021249442,18
540.3206192970276,7.202725665915883,2.3256046772003174,0.1722125514486954,340,300,2,6,sqrt,130,"{'pca__n_components': 340, 'forest__n_estimators': 300, 'forest__min_samples_split': 2, 'forest__min_samples_leaf': 6, 'forest__max_features': 'sqrt', 'forest__max_depth': 130}",0.8591666666666666,0.8504166666666667,0.8576666666666667,0.8585,0.856,0.85635,0.0031501322723551215,19
370.22982201576235,3.2473720610083707,1.7715028762817382,0.18264463572426093,330,200,5,6,auto,160,"{'pca__n_components': 330, 'forest__n_estimators': 200, 'forest__min_samples_split': 5, 'forest__min_samples_leaf': 6, 'forest__max_features': 'auto', 'forest__max_depth': 160}",0.8581666666666666,0.84825,0.8568333333333333,0.8625,0.8551666666666666,0.8561833333333333,0.004652478431498186,20
456.90339865684507,1.6547355313169312,1.9518365383148193,0.06839341891872149,390,250,10,6,sqrt,160,"{'pca__n_components': 390, 'forest__n_estimators': 250, 'forest__min_samples_split': 10, 'forest__min_samples_leaf': 6, 'forest__max_features': 'sqrt', 'forest__max_depth': 160}",0.8554166666666667,0.8495,0.856,0.8585833333333334,0.8553333333333333,0.8549666666666667,0.002978907331369819,21
398.56637239456177,4.582362447698122,3.659424161911011,0.4055974076144076,350,400,10,2,log2,150,"{'pca__n_components': 350, 'forest__n_estimators': 400, 'forest__min_samples_split': 10, 'forest__min_samples_leaf': 2, 'forest__max_features': 'log2', 'forest__max_depth': 150}",0.8551666666666666,0.84975,0.8580833333333333,0.8573333333333333,0.8520833333333333,0.8544833333333333,0.0031532170521195797,22
389.2227831363678,2.841381636504129,1.7973487377166748,0.18090687483751489,360,200,5,6,sqrt,110,"{'pca__n_components': 360, 'forest__n_estimators': 200, 'forest__min_samples_split': 5, 'forest__min_samples_leaf': 6, 'forest__max_features': 'sqrt', 'forest__max_depth': 110}",0.8565,0.85025,0.8535833333333334,0.8585,0.8529166666666667,0.8543499999999999,0.0028739249197647153,23
349.3760865688324,3.178664872547477,3.074029874801636,0.23478631847708925,380,350,2,1,log2,160,"{'pca__n_components': 380, 'forest__n_estimators': 350, 'forest__min_samples_split': 2, 'forest__min_samples_leaf': 1, 'forest__max_features': 'log2', 'forest__max_depth': 160}",0.8545,0.8485,0.8570833333333333,0.85575,0.852,0.8535666666666668,0.003037451417078312,24
271.49469594955445,1.912934396405639,2.4112680435180662,0.24262394514130084,300,300,2,6,log2,100,"{'pca__n_components': 300, 'forest__n_estimators': 300, 'forest__min_samples_split': 2, 'forest__min_samples_leaf': 6, 'forest__max_features': 'log2', 'forest__max_depth': 100}",0.8539166666666667,0.8519166666666667,0.8556666666666667,0.8558333333333333,0.85,0.8534666666666666,0.002238923352367792,25
392.9018671512604,9.651871190959284,3.790479898452759,0.5165602770774378,340,400,10,4,log2,40,"{'pca__n_components': 340, 'forest__n_estimators': 400, 'forest__min_samples_split': 10, 'forest__min_samples_leaf': 4, 'forest__max_features': 'log2', 'forest__max_depth': 40}",0.8545833333333334,0.8504166666666667,0.854,0.857,0.8491666666666666,0.8530333333333335,0.002859001379658445,26
343.2868637561798,4.1251520483032404,3.157979726791382,0.18506115917039906,390,350,5,2,log2,150,"{'pca__n_components': 390, 'forest__n_estimators': 350, 'forest__min_samples_split': 5, 'forest__min_samples_leaf': 2, 'forest__max_features': 'log2', 'forest__max_depth': 150}",0.8531666666666666,0.8491666666666666,0.8545833333333334,0.8563333333333333,0.851,0.8528499999999999,0.0025388098699106187,27
383.97192869186404,0.803798191615732,3.5032461166381834,0.5728745743065331,330,450,10,6,log2,90,"{'pca__n_components': 330, 'forest__n_estimators': 450, 'forest__min_samples_split': 10, 'forest__min_samples_leaf': 6, 'forest__max_features': 'log2', 'forest__max_depth': 90}",0.8496666666666667,0.8480833333333333,0.85475,0.8568333333333333,0.8524166666666667,0.85235,0.0032021694035276995,28
196.09760904312134,1.2141388354893123,1.6275571823120116,0.1332296556184027,360,200,2,1,log2,20,"{'pca__n_components': 360, 'forest__n_estimators': 200, 'forest__min_samples_split': 2, 'forest__min_samples_leaf': 1, 'forest__max_features': 'log2', 'forest__max_depth': 20}",0.8503333333333334,0.846,0.85125,0.8541666666666666,0.84725,0.8497999999999999,0.002911948564869314,29
306.33079800605776,4.964767083022739,2.5976582050323485,0.09575698794957575,370,350,2,6,log2,80,"{'pca__n_components': 370, 'forest__n_estimators': 350, 'forest__min_samples_split': 2, 'forest__min_samples_leaf': 6, 'forest__max_features': 'log2', 'forest__max_depth': 80}",0.8490833333333333,0.8454166666666667,0.85275,0.8504166666666667,0.8499166666666667,0.8495166666666666,0.0023842072989663484,30
